file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,corpus,-45.804483776175424,-45.87995237261591,3.89793929196005,8.171337098013636
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.816432291666665,-53.55422005286584,3.8811693907260953,11.443148868500742
F2BJRLP3,0.0,30.7068125,corpus,-46.009127727124714,-46.90480767941539,3.659455927908461,10.235460833631313
F2BJRLP2,0.0,28.6474375,corpus,-45.437290030541014,-45.74035690591062,3.598790752102163,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.30214796458838,-52.38382163414588,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.78482905122423,-50.89536221822103,2.5633459565624697,12.358243745435463
